A,B,C,D,id
0.0536864,0.893958723,0.026995217,0.02535966,65
0.006688886,0.992718738,0.00033302,0.000259356,66
0.979066277,0.004826393,0.002141699,0.013965631,67
0.975478894,0.01576715,0.003304974,0.005448981,68
0.384078969,0.493167158,0.091226751,0.031527122,69
0.022364693,0.005654679,0.950970943,0.021009685,70
0.134920644,0.776414655,0.076875466,0.011789235,71
0.025868807,0.97071982,0.001287932,0.002123441,72
0.095072454,0.902022323,0.001973166,0.000932058,73
0.010200971,0.00331177,0.977484933,0.009002325,74
0.988767827,0.004040868,0.005879428,0.001311878,75
0.039496845,0.11428791,0.844479876,0.00173537,76
0.102566093,0.80674487,0.070492576,0.020196461,77
0.973076711,0.024360496,0.001557315,0.001005478,78
0.923321567,0.035801063,0.019162928,0.021714442,79
0.974895202,0.006568791,0.009557535,0.008978473,80
0.032020549,0.935777573,0.016100939,0.016100939,81
0.063230168,0.929160463,0.004042168,0.003567201,82
0.01729745,0.944408821,0.03231589,0.005977839,83
0.290546719,0.018574028,0.450007562,0.240871691,84
0.986830098,0.005512387,0.00178961,0.005867905,85
0.216295996,0.00448908,0.024267738,0.754947185,86
0.153948,0.689947109,0.028477517,0.127627375,87
0.103313145,0.075585512,0.812620882,0.008480461,88
0.981034874,0.008487614,0.006209671,0.00426784,89
0.017955465,0.980335348,0.001012978,0.000696209,90
0.075509537,0.002012261,0.002583794,0.919894409,91
0.209672628,0.017210981,0.731829402,0.041286988,92
0.913544702,0.004503399,0.079824643,0.002127255,93
0.020303216,0.978263661,0.000541062,0.000892061,94
0.895540234,0.078251437,0.019785062,0.006423268,95
0.990911302,0.005892173,0.001797011,0.001399514,96
0.462556066,0.007476522,0.005822721,0.524144691,97
0.997637639,0.000708497,0.00024485,0.001409014,98
0.124244359,0.011556526,0.001772251,0.862426865,99
0.570201332,0.153467616,0.223294063,0.053036989,100
0.789235354,0.012756803,0.060859303,0.13714854,101
0.871568914,0.033794392,0.091862681,0.002774013,102
0.191252232,0.096167662,0.589098384,0.123481722,103
0.159511422,0.556749535,0.159511422,0.12422762,104
0.059719105,0.236193616,0.683448908,0.020638371,105
0.628361567,0.109192854,0.031284277,0.231161302,106
0.910886989,0.025839877,0.061986643,0.001286491,107
0.014422951,0.034598868,0.001112179,0.949866003,108
0.19058448,0.004771188,0.00225375,0.802390583,109
0.037540166,0.012187508,0.854410154,0.095862172,110
0.123238821,0.295634563,0.457887795,0.123238821,111
0.209607408,0.778785998,0.010435737,0.001170857,112
0.014048955,0.36232733,0.597376811,0.026246904,113
0.041608701,0.947009684,0.00872166,0.002659956,114
0.014918019,0.001387592,0.001224546,0.982469844,115
0.098046328,0.194988407,0.680576453,0.026388811,116
0.06913567,0.01449162,0.019807701,0.896565008,117
0.951314474,0.026986713,0.019743901,0.001954911,118
0.032810687,0.057584549,0.008830875,0.900773889,119
0.044015483,0.941092479,0.006749993,0.008142046,120
0.11969475,0.830846185,0.01724366,0.032215405,121
0.188521656,0.009991282,0.007781218,0.793705844,122
0.102349905,0.710449137,0.084851052,0.102349905,123
0.011650113,0.985171883,0.002024486,0.001153517,124
0.011605625,0.002146825,0.004837944,0.981409606,125
0.039321961,0.007273833,0.952683999,0.000720207,126
0.554154387,0.315747652,0.027589719,0.102508242,127
0.135432917,0.779362653,0.053036293,0.032168137,128
0.08575187,0.866063251,0.045899669,0.00228521,129
0.165013861,0.199044711,0.395847675,0.240093752,130
0.995363017,0.00358984,0.000752471,0.000294672,131
0.019812181,0.954604408,0.012791705,0.012791705,132
0.294301433,0.663218557,0.033019706,0.009460304,133
0.167646656,0.031011513,0.178458937,0.622882893,134
0.011450594,0.009492875,0.968299694,0.010756837,135
0.138428815,0.003465498,0.275298571,0.582807115,136
0.170419237,0.051974931,0.218822632,0.5587832,137
0.882858243,0.03423213,0.010440207,0.07246942,138
0.001480447,0.013195084,0.984707327,0.000617142,139
0.921781092,0.001079295,0.001475221,0.075664393,140
0.178718099,0.800958987,0.011425064,0.008897849,141
0.516787674,0.456063521,0.009465299,0.017683506,142
0.059282347,0.009091242,0.004294399,0.927332012,143
0.031123865,0.96823517,0.000535516,0.000105449,144
0.020281948,0.977239054,0.001469219,0.001009779,145
0.018038604,0.052196444,0.004560873,0.925204079,146
0.583501089,0.258927039,0.147532179,0.010039693,147
0.280018086,0.002008432,0.002922251,0.715051232,148
0.029264395,0.969103752,0.000346065,0.001285788,149
0.968780007,0.017743824,0.006527588,0.006948581,150
0.119741752,0.223707018,0.009233492,0.647317738,151
0.128053898,0.175028927,0.004664363,0.692252812,152
0.915272275,0.07057822,0.010167754,0.00398175,153
0.016851801,0.002584307,0.979417113,0.001146779,154
0.01210094,0.0240656,0.961296965,0.002536495,155
0.093987204,0.009305991,0.891725666,0.004981138,156
0.005904402,0.992967482,0.000377456,0.00075066,157
0.511032036,0.006043192,0.002854602,0.48007017,158
0.188933471,0.007325746,0.795439626,0.008301157,159
0.957322314,0.025511778,0.009385257,0.007780651,160
0.316296608,0.048505656,0.006166802,0.629030934,161
0.957125349,0.032751028,0.00644906,0.003674563,162
0.124392551,0.007017748,0.863455408,0.005134294,163
0.047351042,0.951071154,0.000464213,0.00111359,164
0.982628958,0.014016448,0.001781991,0.001572602,165
0.325470837,0.010462244,0.127456226,0.536610692,166
0.547271021,0.022588573,0.4262151,0.003925306,167
0.902829723,0.030893136,0.000876371,0.06540077,168
0.491143998,0.169734814,0.001563204,0.337557984,169
0.998774702,0.000855584,0.000260938,0.000108775,170
0.0096996,0.98938599,0.00040035,0.00051406,171
0.014018246,0.002436006,0.000790855,0.982754892,172
0.597483061,0.013200118,0.003552764,0.385764058,173
0.016892584,0.981787175,0.000742208,0.000578032,174
0.998375376,0.001410056,0.000148619,6.59E-05,175
0.045997166,0.867902882,0.019174471,0.066925481,176
0.88037954,0.063774474,0.046658402,0.009187584,177
0.987783231,0.010308445,0.000513227,0.001395096,178
0.679101584,0.063166283,0.19456585,0.063166283,179
0.585280439,0.02737393,0.377885453,0.009460177,180
0.998380031,0.000910405,0.000518733,0.000190831,181
0.120075088,0.068416723,0.028520333,0.782987857,182
0.101027944,0.746501099,0.09490697,0.057563987,183
0.296084147,0.014741162,0.230590566,0.458584125,184
0.310905051,0.100936092,0.580847071,0.007311786,185
0.014874455,0.979600829,0.004829028,0.000695688,186
0.024075792,0.010036286,0.961704176,0.004183746,187
0.939783473,0.012593107,0.041291208,0.006332212,188
0.097890181,0.009105207,0.872485715,0.020518897,189
0.003375344,0.99624927,0.000244509,0.000130876,190
0.942993261,0.032267458,0.006353838,0.018385443,191
0.196160037,0.01824573,0.775827997,0.009766236,192
0.069269227,0.01130789,0.021125921,0.898296962,193
0.281535927,0.016907549,0.6753696,0.026186924,194
0.610609896,0.347915021,0.025202883,0.0162722,195
0.050181071,0.145203743,0.784963996,0.01965119,196
0.18698935,0.240099078,0.508289782,0.06462179,197
0.023539498,0.503296729,0.127253326,0.345910446,198
0.460229353,0.007438913,0.010823555,0.521508179,199
0.056052966,0.183790622,0.11866413,0.641492283,200
0.991646009,0.001914327,0.005203681,0.001235983,201
0.008055646,0.991157389,0.000454468,0.000332496,202
0.944781281,0.032328635,0.022219125,0.000670959,203
0.587371005,0.061908441,0.09007625,0.260644304,204
0.134041627,0.142686586,0.28376616,0.439505627,205
0.831454837,0.135731267,0.028450823,0.004363074,206
0.235824829,0.111395775,0.641038367,0.011741028,207
0.031036334,0.965511992,0.002248265,0.001203409,208
0.930728041,0.055894569,0.006271195,0.007106195,209
0.278583158,0.007902797,0.002127009,0.711387036,210
0.007062248,0.007517723,0.984627667,0.000792362,211
0.824419824,0.098462914,0.038558631,0.038558631,212
0.078896966,0.016537698,0.001637454,0.902927882,213
0.005547562,0.993127314,0.000662562,0.000662562,214
0.005900574,0.992323887,0.001025366,0.000750174,215
0.205045171,0.298338963,0.43408063,0.062535236,216
0.014037116,0.984077848,0.001305655,0.000579381,217
0.480701172,0.03706769,0.480701172,0.001529966,218
0.171302731,0.300645655,0.386036663,0.142014952,219
0.027539046,0.97078473,0.000942334,0.000733891,220
0.021580118,0.976790733,0.000890718,0.000738431,221
0.994252057,0.004604301,0.000965114,0.000178528,222
0.99644989,0.001807056,0.001594721,0.000148332,223
0.397560654,0.479549687,0.069085679,0.053803981,224
0.112894304,0.144959156,0.00598318,0.736163359,225
0.127807784,0.068410577,0.782917592,0.020864047,226
0.017785798,0.007414224,0.003728106,0.971071873,227
0.828986583,0.082080792,0.077107768,0.011824856,228
0.009707771,0.086524423,0.873865766,0.02990204,229
0.021348844,0.006930953,0.966322371,0.005397832,230
0.806491868,0.000944305,0.001005207,0.19155862,231
0.042107041,0.200881455,0.746365174,0.01064633,232
0.02153515,0.974755386,0.002416177,0.001293287,233
0.997301742,0.002049413,0.000314288,0.000334558,234
0.010288516,0.985873522,0.000700142,0.00313782,235
0.062440644,0.917558571,0.01155036,0.008450424,236
0.986658083,0.005866885,0.001229766,0.006245266,237
0.010289399,0.002443947,0.985958504,0.00130815,238
0.577427113,0.372814965,0.047398109,0.002359813,239
0.02433275,0.971968392,0.002409269,0.001289589,240
0.014926815,0.983049162,0.001782754,0.000241269,241
0.020286164,0.977442033,0.001380491,0.000891312,242
0.412719129,0.049292277,0.529941852,0.008046743,243
0.014022058,0.001477914,0.983022114,0.001477914,244
0.792303721,0.121503713,0.083508199,0.002684367,245
0.067648703,0.824129885,0.07201167,0.036209742,246
0.064975466,0.13755308,0.743604901,0.053866554,247
0.167866201,0.800844817,0.014667982,0.016621001,248
0.982787916,0.007503677,0.005157197,0.00455121,249
0.110622999,0.046114527,0.63659148,0.206670995,250
0.98747498,0.008543331,0.001682282,0.002299406,251
0.988164427,0.007544729,0.002607388,0.001683456,252
0.196611927,0.072329486,0.196611927,0.53444666,253
0.061034276,0.543992577,0.373880266,0.021092881,254
0.811311588,0.159756724,0.015818058,0.01311363,255
0.155582863,0.155582863,0.615342142,0.073492132,256
0.841064326,0.146155056,0.003437237,0.00934338,257
0.004320778,0.001237924,0.001237924,0.993203375,258
0.367397649,0.067961731,0.092892673,0.471747947,259
0.020431057,0.86875069,0.103757467,0.007060786,260
0.01279743,0.039418849,0.897168917,0.050614804,261
0.030936632,0.005375981,0.96241048,0.001276907,262
0.030220067,0.002992192,0.940118625,0.026669116,263
0.078855197,0.007334676,0.902449958,0.011360168,264
0.953244885,0.002085214,0.039345119,0.005324782,265
0.017944432,0.001669092,0.000653626,0.97973285,266
0.150037056,0.31762845,0.491952568,0.040381926,267
0.02860274,0.947192619,0.023712504,0.000492137,268
0.04928425,0.929925674,0.006669899,0.014120177,269
0.134297074,0.388601421,0.41366406,0.063437446,270
0.01097134,0.987608535,0.001020494,0.000399631,271
0.039335911,0.953021836,0.004413366,0.003228887,272
0.724147591,0.008563381,0.250258711,0.017030317,273
0.010276186,0.003551355,0.001480425,0.984692035,274
0.98743048,0.006653255,0.002773489,0.003142775,275
0.099943055,0.211579424,0.651710526,0.036766995,276
0.391394847,0.001812518,0.606204197,0.000588438,277
0.208098226,0.640987661,0.052615471,0.098298642,278
0.041958074,0.954961376,0.001962405,0.001118145,279
0.003591355,0.995783356,0.000486037,0.000139252,280
0.027075913,0.954458907,0.012789759,0.005675421,281
0.027433831,0.967075958,0.004207114,0.001283097,282
0.262050349,0.669169029,0.035464658,0.033315963,283
0.217953251,0.317120109,0.246973389,0.217953251,284
0.656204737,0.088807665,0.176615109,0.078372489,285
0.039476817,0.956435654,0.003449445,0.000638083,286
0.986481269,0.002949526,0.010294856,0.000274349,287
0.018661784,0.012826044,0.069336941,0.89917523,288
0.354080533,0.018765581,0.005723179,0.621430707,289
0.115263425,0.024160526,0.008888159,0.85168789,290
0.018792476,0.799076414,0.014635592,0.167495518,291
0.086698888,0.006280448,0.7727388,0.134281864,292
0.008016595,0.091745069,0.870453073,0.029785263,293
0.125171364,0.020433664,0.816219863,0.038175109,294
0.965074947,0.029142735,0.002710697,0.003071622,295
0.851208056,0.029126736,0.004466731,0.115198477,296
0.004841341,0.012362796,0.982098402,0.000697461,297
0.145274515,0.015311821,0.835997135,0.003416529,298
0.917266606,0.045668013,0.016800323,0.020265058,299
0.839242135,0.106697662,0.025342916,0.028717286,300
0.046805669,0.940116877,0.006334458,0.006742996,301
0.007105745,0.990691755,0.001687762,0.000514738,302
0.30443331,0.344968134,0.268661453,0.081937104,303
0.994911353,0.00217636,0.001320029,0.001592259,304
0.268418793,0.285730318,0.415735135,0.030115754,305
0.988103335,0.009100116,0.001310996,0.001485553,306
0.015821534,0.978843489,0.004258308,0.001076669,307
0.995363017,0.000752471,0.000294672,0.00358984,308
0.358481997,0.123888048,0.02764316,0.489986795,309
0.00627668,0.001586993,0.991621106,0.000515221,310
0.182590623,0.038273074,0.438012109,0.341124194,311
0.977044426,0.020277911,0.002137276,0.000540388,312
0.478205595,0.044480049,0.290046355,0.187268002,313
0.045811397,0.812026341,0.00960259,0.132559672,314
0.993053772,0.002172296,0.002312397,0.002461534,315
0.044573404,0.953021486,0.001728299,0.000676812,316
0.070266199,0.002258704,0.12332102,0.804154077,317
0.307996755,0.271806183,0.164858783,0.255338279,318
0.027365086,0.964652615,0.005736035,0.002246264,319
0.01170211,0.023272425,0.497586349,0.467439116,320
0.100615215,0.000768207,0.001842832,0.896773746,321
0.184955641,0.014262248,0.77869231,0.022089801,322
0.989853152,0.009116233,0.000483143,0.000547472,323
0.006282135,0.992483145,0.000750294,0.000484426,324
0.112200131,0.002638695,0.002638695,0.88252248,325
0.037185247,0.054104216,0.007794453,0.900916084,326
0.340799599,0.636697473,0.007529242,0.014973686,327
0.403347545,0.010097609,0.551310728,0.035244118,328
0.023394308,0.934482321,0.034038517,0.008084854,329
0.034237763,0.043962158,0.883003612,0.038796468,330
0.114747123,0.582734008,0.027254831,0.275264038,331
0.067274299,0.928693095,0.00158214,0.002450466,332
0.939768394,0.056437474,0.003389334,0.000404798,333
0.998128435,0.000910175,0.000295491,0.000665899,334
0.978634031,0.013959465,0.004824262,0.002582241,335
0.011553793,0.002421807,0.008998103,0.977026298,336
0.035021273,0.002874721,0.961462569,0.000641437,337
0.018418814,0.144875198,0.8336992,0.003006788,338
0.025875687,0.970977903,0.002260992,0.000885417,339
0.682116419,0.250936599,0.02334074,0.043606242,340
0.208724607,0.344128699,0.303692511,0.143454184,341
0.112528413,0.885104535,0.001330701,0.001036351,342
0.930230113,0.055864657,0.010333922,0.003571308,343
0.010873199,0.003757677,0.978774196,0.006594928,344
0.00520068,0.002036615,0.001688414,0.991074291,345
0.187151732,0.396200196,0.37219564,0.044452433,346
0.062659405,0.002586263,0.013981203,0.920773129,347
0.00711011,0.001235552,0.000353992,0.991300347,348
0.975111703,0.004806898,0.01390922,0.006172179,349
0.182826363,0.723092271,0.038322483,0.055758884,350
0.020135516,0.008393732,0.970183531,0.00128722,351
0.214375898,0.42633738,0.332031885,0.027254837,352
0.962445253,0.012896773,0.014613958,0.010044017,353
0.021085479,0.019807975,0.004704808,0.954401738,354
0.027528848,0.970425239,0.001653236,0.000392678,355
0.038202578,0.03167105,0.925563726,0.004562646,356
0.148494183,0.665504759,0.168265954,0.017735103,357
0.996737935,0.002180355,0.000457027,0.000624682,358
0.172339348,0.004314431,0.822185008,0.001161213,359
0.952419015,0.011989189,0.028760562,0.006831234,360
0.923535005,0.00905402,0.031601634,0.035809342,361
0.779080503,0.185047842,0.009212988,0.026658666,362
0.201753225,0.548422126,0.21476519,0.035059458,363
0.21325345,0.699231164,0.022476751,0.065038635,364
0.715238433,0.016820797,0.263121531,0.004819239,365
0.948706214,0.030496114,0.006392331,0.014405341,366
0.772550578,0.005205406,0.000904564,0.221339453,367
0.983589263,0.010926691,0.002151593,0.003332453,368
0.123937111,0.011527944,0.860294051,0.004240894,369
0.642894055,0.162549068,0.032007809,0.162549068,370
0.012979307,0.008920539,0.968604291,0.009495864,371
0.16886166,0.756785502,0.022852941,0.051499897,372
0.21088068,0.610203443,0.106037465,0.072878413,373
0.021562092,0.975974871,0.000693112,0.001769925,374
0.185631042,0.781535889,0.028467446,0.004365623,375
0.842255787,0.034764046,0.053843607,0.06913656,376
0.561291027,0.385769305,0.043282122,0.009657547,377
0.161019187,0.019230999,0.002026932,0.817722881,378
0.009106987,0.001021776,0.988849461,0.001021776,379
0.80926566,0.109522209,0.029477503,0.051734628,380
0.007573521,0.991935769,0.000275866,0.000214844,381
0.980965091,0.010237288,0.006209229,0.002588392,382
0.022890854,0.973343813,0.00200018,0.001765153,383
0.037119717,0.899328511,0.057492143,0.006059629,384
0.963167526,0.010699824,0.007353874,0.018778776,385
0.142895668,0.725684101,0.059567777,0.071852454,386
0.138410165,0.114746057,0.453829458,0.293014321,387
0.870021314,0.009079489,0.010288409,0.110610789,388
0.025857601,0.002901143,0.000941863,0.970299392,389
0.581145506,0.03079958,0.375215739,0.012839175,390
0.440170392,0.250801529,0.024832714,0.284195365,391
0.153313775,0.324565264,0.416750048,0.105370914,392
0.013156715,0.003326539,0.981844058,0.001672689,393
0.004601974,0.993749421,0.000485044,0.001163561,394
0.004050482,0.991120319,0.001024122,0.003805076,395
0.015201498,0.041321945,0.002993352,0.940483204,396
0.035016275,0.96132537,0.002382887,0.001275467,397
0.545463822,0.374891436,0.03487034,0.044774402,398
0.046344193,0.055901767,0.874450716,0.023303324,399
0.856175379,0.033197522,0.084772842,0.025854256,400
0.005502227,0.001480904,0.008005693,0.985011175,401
0.177308226,0.02117645,0.794640337,0.006874987,402
0.707607145,0.229726399,0.039920462,0.022745994,403
0.996896697,0.00247106,0.000429406,0.000202837,404
0.013196626,0.001083245,0.000898042,0.984822087,405
0.172249112,0.498419331,0.134147743,0.195183814,406
0.56978021,0.032144796,0.367877753,0.030197241,407
0.020316367,0.97889735,0.000308488,0.000477795,408
0.161557439,0.82045635,0.015027183,0.002959028,409
0.03611176,0.002615928,0.029937701,0.931334611,410
0.050003181,0.943490915,0.002650072,0.003855832,411
0.70422422,0.293564322,0.000934351,0.001277106,413
0.404691586,0.430791951,0.084827965,0.079688498,414
0.939074351,0.011821202,0.02835759,0.020746856,415
0.142724876,0.600894207,0.250489958,0.005890959,416
0.711727866,0.203913454,0.004505034,0.079853646,417
0.006184969,0.011555043,0.977132468,0.005127519,418
0.302505473,0.111285544,0.221317732,0.364891252,419
0.032303436,0.944044851,0.017290787,0.006360925,420
0.978769367,0.008468016,0.00188947,0.010873148,421
0.280491788,0.716260893,0.001775433,0.001471886,422
0.020538465,0.387532427,0.563856355,0.028072753,423
0.010137666,0.013017021,0.971419012,0.005426301,424
0.075615285,0.002587412,0.000614564,0.921182739,425
0.007581402,0.823199034,0.007122068,0.162097496,426
0.07917328,0.095501205,0.025703801,0.799621715,427
0.121508831,0.065038991,0.021115069,0.79233711,428
0.39739949,0.256580395,0.146195102,0.199825013,429
0.00855941,0.989333146,0.001487402,0.000620042,430
0.112372215,0.883876008,0.002994619,0.000757158,431
0.052975279,0.939009198,0.003386595,0.004628927,432
0.302487776,0.012485162,0.003360336,0.681666726,433
0.045450134,0.008407431,0.912890406,0.033252028,434
0.93813213,0.016141458,0.020726038,0.025000374,435
0.008659893,0.005951852,0.732309028,0.253079228,436
0.055382515,0.075698923,0.866328287,0.002590275,437
0.02948141,0.809373078,0.159375016,0.001770496,438
0.374032791,0.616675819,0.001528587,0.007762803,439
0.166906716,0.06140155,0.582561647,0.189130087,440
0.010315697,0.00065946,0.000546712,0.988478131,441
0.655012174,0.22636615,0.064854996,0.05376668,442
0.052838494,0.020691851,0.046629807,0.879839848,443
0.078659399,0.012840797,0.900209162,0.008290642,444
0.019472447,0.008117322,0.034175209,0.938235021,445
0.049779067,0.006328698,0.004630174,0.939262061,446
0.232957891,0.763839494,0.002587928,0.000614687,447
0.140302438,0.029408989,0.022903743,0.807384831,448
0.013872784,0.013032275,0.972557035,0.000537906,449
0.516541337,0.45584613,0.027375686,0.000236846,450
0.320781019,0.013240217,0.028029533,0.637949231,451
0.038844523,0.003846128,0.016192802,0.941116548,452
0.011652414,0.002024886,0.985366212,0.000956488,453
0.028118711,0.413201435,0.530561144,0.028118711,454
0.119275747,0.47174473,0.063843707,0.345135817,455
0.853783178,0.089988094,0.001648189,0.054580538,456
0.993813718,0.003584252,0.001802275,0.000799755,457
0.997481737,0.001596372,0.000587273,0.000334618,458
0.982331814,0.008498836,0.003328192,0.005841159,459
0.992918505,0.00336406,0.001800652,0.001916784,460
0.805207417,0.025883348,0.123482546,0.04542669,461
0.039339822,0.005324066,0.953116711,0.002219401,462
0.015799731,0.977494614,0.004818646,0.001887009,463
0.014822868,0.00352074,0.976203364,0.005453028,464
0.049954626,0.003852087,0.003618701,0.942574585,465
0.222066322,0.00204516,0.000800896,0.775087622,466
0.076469538,0.161886013,0.725522797,0.036121652,467
0.089253889,0.846817291,0.034952325,0.028976495,468
0.864474576,0.116993903,0.006200451,0.01233107,469
0.688218355,0.305395025,0.002993987,0.003392632,470
0.184372829,0.026561421,0.729208663,0.059857087,471
0.025479097,0.003907345,0.014517548,0.95609601,472
0.962373177,0.01138051,0.010691,0.015555313,473
0.666112282,0.314649163,0.013824718,0.005413837,474
0.764879839,0.181674891,0.004548142,0.048897128,475
0.005218561,0.994481693,0.000215396,8.44E-05,476
0.010897298,0.004835647,0.980943568,0.003323488,477
0.009701495,0.989579291,0.00029296,0.000426254,478
0.023625079,0.030335201,0.94370052,0.0023392,479
0.079294915,0.907482264,0.001062552,0.012160269,480
0.996237921,0.001594382,0.001923191,0.000244506,481
0.995372581,0.003168053,0.000752478,0.000706888,482
0.120000767,0.832970447,0.012647991,0.034380795,483
0.987135958,0.003560168,0.005514096,0.003789779,484
0.02159533,0.97747937,0.000477103,0.000448197,485
0.175250302,0.018471244,0.113150086,0.693128369,486
0.345095916,0.196629726,0.015162456,0.443111901,487
0.751896103,0.002547463,0.244104932,0.001451501,488
0.005902198,0.992597042,0.00075038,0.00075038,489
0.072476775,0.008131671,0.882947943,0.036443611,490
0.474218159,0.474218159,0.038926195,0.012637488,491
0.873427251,0.097995816,0.024777222,0.003799711,492
0.858570305,0.045502554,0.090492635,0.005434505,493
0.027332755,0.006910803,0.963512834,0.002243609,494
0.07823794,0.895385881,0.023861224,0.002514955,495
0.841672654,0.036980514,0.088711642,0.032635189,496
0.304109635,0.568151596,0.059882738,0.067856032,497
0.939291833,0.036420294,0.008126466,0.016161407,498
0.07721673,0.688225157,0.011124125,0.223433989,499
0.860361025,0.029439932,0.007443582,0.10275546,500
0.534561399,0.067961855,0.092892842,0.304583904,501
0.058866546,0.007966721,0.012339098,0.920827635,502
0.036950643,0.006421061,0.952969686,0.00365861,503
0.65671077,0.146531975,0.166042481,0.030714774,504
0.982100154,0.010910145,0.001149921,0.00583978,505
0.025109151,0.020816218,0.94221391,0.01186072,506
0.117186585,0.132789797,0.674362273,0.075661346,507
0.013875438,0.757573099,0.011503142,0.21704832,508
0.006644495,0.006644495,0.98613042,0.00058059,509
0.012750314,0.653966304,0.212311768,0.120971613,510
0.253034548,0.472730771,0.197063504,0.077171177,511
0.988444975,0.005521407,0.005186882,0.000846735,512
0.09502761,0.901596859,0.001740491,0.00163504,513
0.019082539,0.000950064,0.001219906,0.978747491,514
0.222533709,0.77671894,0.000486791,0.00026056,515
0.006277769,0.001024818,0.000904398,0.991793016,516
0.063617444,0.934851419,0.000623683,0.000907454,517
0.471816752,0.009792246,0.502246318,0.016144684,518
0.723268355,0.266075558,0.003565414,0.007090673,519
0.564456196,0.017045096,0.005533733,0.412964975,520
0.229913615,0.010101698,0.753857698,0.00612699,521
0.072626349,0.68905957,0.174221554,0.064092528,522
0.980839919,0.013143259,0.001474633,0.004542189,523
0.191536515,0.806398898,0.001373797,0.000690789,524
0.148919058,0.805048787,0.029323898,0.016708257,525
0.058893176,0.865428868,0.055325019,0.020352937,526
0.038408951,0.930563748,0.011714068,0.019313233,527
0.002469576,0.000378722,0.000853463,0.99629824,528
0.004641048,0.830842487,0.000913876,0.163602588,529
0.111158295,0.028105218,0.221064666,0.639671821,530
0.018758794,0.962142499,0.005374483,0.013724224,531
0.076701893,0.774661659,0.092520144,0.056116304,532
0.377160156,0.032955891,0.584157077,0.005726875,533
0.891916064,0.064610184,0.019704993,0.023768759,534
0.993754438,0.003815189,0.001026844,0.001403529,535
0.034227672,0.939675339,0.01426822,0.01182877,536
0.991303778,0.00380578,0.001315242,0.0035752,537
0.242659803,0.007800287,0.129886433,0.619653478,538
