Word,Frequency,PMI,R_Entropy,L_Entropy
立,289,80,6.674245801511639,6.5953558873720715
尝,288,80,6.713472387249209,4.790785306555837
月,286,80,5.964290193543665,4.906820891775136
等,284,80,6.9381642581804925,7.3527879292316625
举,283,80,6.361464536996148,6.687463786273161
左,283,80,4.415532195389924,6.152359361330789
若,280,80,6.881964059319064,6.275154480036174
甚,279,80,6.197298064232231,6.961974032647714
遣,277,80,6.292090847716297,6.668078109903903
议,277,80,6.123902782008157,6.476792653275911
江,276,80,5.597240292375639,6.194874335323011
起,274,80,5.638132918511982,6.705822532611711
京,273,80,4.005703376381573,5.889687469264103
善,272,80,6.083777196346851,6.40095954226454
会,270,80,6.757756929605421,6.4327063989651725
外,269,80,6.097126481099311,5.435982680887701
众,267,80,6.5806305041706725,6.11332312706723
心,265,80,6.439693303461879,5.8945935987264635
常,265,80,6.087031042635051,5.821886925181306
乎,264,80,5.806687083026437,6.931741225326314
问,261,80,5.816821920791323,6.114198470354569
意,258,80,6.384494583248778,6.198348339039334
来,257,80,6.350561648154584,6.296970951391993
七,256,80,3.674444287229665,4.786853248964577
卿,254,80,6.54395961503027,5.528685565969971
前,251,80,6.128179036975046,6.538917084692988
位,251,80,5.911165765889066,3.954075114779012
水,250,80,6.666327156014277,6.840082423243159
侯,249,80,6.5470268093460176,5.1726766332185905
六,249,80,3.713746927963779,5.010309278956046
治,246,80,6.54747361841601,6.348495663428998
北,243,80,6.368584906462204,6.276649125061522
岁,243,80,5.958158911181835,5.754935614383683
称,243,80,5.763993053008702,6.368742329360089
虽,240,80,6.685273891722255,6.153028947620516
重,240,80,6.410031484485253,6.731470973985331
罪,239,80,5.844511879406981,5.198786801092978
定,238,80,6.423007510593845,6.272429996905738
征,238,80,6.29188130637446,5.801001334955815
礼,238,80,5.065099664234737,6.386952505597581
李,237,80,6.825694662051095,6.207403378092363
论,235,80,6.251190214134902,6.35347288399723
义,233,80,6.105398768878221,6.056766526801097
战,233,80,5.693576778372279,6.497802017871051
光,233,80,5.47327479016286,5.702853827072737
焉,232,80,4.333161760715645,7.0332349292490965
始,231,80,6.690213628655187,6.25702144653676
县,230,80,6.246402403676205,6.117381986366044
奏,230,80,6.118400287363696,6.761496429849471
陈,229,80,6.807178129868764,6.472942952076885
母,229,80,5.922835101430089,5.256481755812972
骑,229,80,5.8887063910189825,5.308426577228037
拜,228,80,6.489037595802407,5.782600743187652
亲,227,80,6.517881588455579,6.456079935587761
发,227,80,6.43168142618491,6.5984898459354095
赐,227,80,6.295571682077956,6.288635985004181
往,227,80,6.024823398984249,6.538822740511413
张,226,80,6.527532738239934,6.4313552879527895
内,226,80,5.994805805762817,6.03207078211866
郡,225,80,5.7453264559841895,6.0456385372399675
里,223,80,6.06772945576875,4.632530643905695
节,222,80,4.539439860166276,5.934544685736418
求,221,80,6.523965736247436,6.343268204355808
通,221,80,6.212610326984461,5.872602643722255
授,220,80,6.582101290339427,5.794320130155776
章,220,80,6.16364628141357,4.804006207250143
地,218,80,6.451217804390178,6.124753989165354
石,216,80,6.663724973307063,6.148530291508346
周,216,80,6.34321671725689,5.825152821551722
制,215,80,6.164063213848731,6.038360416682041
封,214,80,6.847450179003178,5.651352901767819
秦,214,80,5.102760166046829,5.892542385459996
敢,213,80,6.430338546722201,3.385986379597972
金,212,80,5.973537665734459,6.2456912080395135
信,208,80,5.878144419351846,6.086625243722549
受,208,80,5.86355696518009,6.181842373536881
汉,208,80,5.6888786276060825,6.369904328158807
且,207,80,6.8429791678939385,6.049806391706672
或,207,80,6.436028293702987,5.151940909777384
我,207,80,6.415804513707889,6.34598648027702
力,204,80,5.892088506074772,6.236384189789626
贤,203,80,6.129918442395688,6.044894498766071
八,203,80,4.229956338076855,4.793628206890975
忠,201,80,5.786020338084928,5.830970233195814
丞,200,80,3.3345963488157,4.4904619640398655
宜,199,80,6.832584815771893,5.396368606171894
小,199,80,6.202073543298817,6.399921130214417
杀,199,80,5.548121747155175,6.389390404277351
宣,198,80,5.6134527764819016,6.094274203567192
过,197,80,6.166756270017997,5.98066185944432
氏,197,80,5.668804965738839,6.1107307894398035
直,194,80,6.149633718628886,6.278955525872843
并,191,80,6.5849476142891925,6.513902926650713
尽,188,80,6.55140709077512,6.1825141135284225
独,187,80,6.578804521507954,6.419723600817129
疾,187,80,5.6440013623096545,5.585450823575492
古,187,80,5.337157422625545,5.266149729606446
每,186,80,6.592653066339289,5.635794673073724
兴,186,80,5.789118542600525,5.665947977775587
加,185,80,6.3984578929195415,5.991887356437317
食,185,80,5.51911635810731,6.046642617428223
除,184,80,6.693708792448831,5.7062297804771305
作,184,80,6.405032420692544,6.252363795226756
取,184,80,6.241473715823324,6.397538537742741
廷,184,80,5.421520106566822,3.8894062858818663
昌,182,80,6.024474371868372,5.249606157296648
和,180,80,6.109944771355699,5.956822491998283
修,179,80,6.179871564321778,5.801790151924542
乐,178,80,5.9890759445264194,5.471477288969161
对,178,80,2.9892084680690862,6.185775241716347
服,177,80,5.532287929740699,6.2272561444364385
留,175,80,5.853080941942127,6.283594785396506
间,175,80,5.779041812035858,5.268460874961751
风,174,80,6.31137452172342,6.003936945798783
老,174,80,6.185891757267645,5.6100351116580915
身,174,80,6.0263908291050425,5.335805370223783
开,174,80,5.644154151837638,6.291671229603596
度,173,80,5.516228719860242,4.483633426766271
九,173,80,4.47035297658945,4.918080618369043
建,172,80,5.4538670597629135,6.095985348914706
许,172,80,4.833568948152626,5.121088565534052
益,171,80,6.348332421238911,6.332434634255652
改,171,80,6.311227479059664,5.328688357104858
流,171,80,5.443852393088705,6.127781759371748
孝,171,80,4.993247494993283,5.394085146299953
景,171,80,4.9128794330397065,5.915769332715985
参,171,80,4.163273271102739,6.166962977873662
率,170,80,5.88266749833705,6.387079227010299
赵,170,80,5.6945811022898285,5.711163750443242
白,169,80,6.264931538375932,6.44766928862197
云,169,80,5.855375171285583,6.377827323339324
久,169,80,4.507888138351566,5.931942941777768
客,168,80,6.426612637902668,4.9491098209859885
计,168,80,5.7841553600602875,5.9645100507829705
击,168,80,5.1861465882499145,6.29779830012179
耳,168,80,5.184221945743166,6.182548384970403
足,168,80,4.616474457280658,4.468224376835912
抚,167,80,6.138040647150094,4.370001748651767
陵,167,80,5.832757630357107,5.585828876078095
疏,166,80,5.555821430263213,5.091811743334481
督,165,80,6.072625779268377,3.7984422334270396
辞,165,80,5.499072669245928,5.857247871870139
败,165,80,4.9723795367603305,5.8849558731187575
谏,164,80,4.5696072633389635,6.148933473599562
深,163,80,6.1489708845653785,6.3586408085508905
孙,163,80,6.103043865886689,4.608238364535315
遇,162,80,5.575322113193137,5.59316412577933
素,161,80,6.357337595774525,6.072479835986819
经,161,80,5.7975435113364675,6.292989373227858
终,160,80,5.071538985471776,5.935491167667021
利,160,80,4.58675019519613,5.623962279051895
清,159,80,6.266670190532796,6.199154018085076
才,159,80,5.924887624804051,5.4306464176890525
失,158,80,6.097571003014539,6.037609000424228
观,158,80,5.3438179194530795,6.058556174958038
业,157,80,5.973702295526366,5.115488146399957
病,157,80,5.579250013598736,5.893020650245123
实,157,80,5.5632921051666475,5.801407770224819
乱,156,80,5.636080318455737,5.772805615386182
固,156,80,5.596196105414229,5.9734465376158425
卫,156,80,4.853058148847051,5.74785881451926
宫,155,80,5.919598371374976,5.463313041813843
吴,153,80,5.5684136643741144,6.0407538977363116
刘,152,80,6.631684615599713,5.8425713516153515
好,152,80,5.830005233184579,5.784675016989477
镇,152,80,5.807370604633906,6.186507202323071
齐,152,80,5.530058302350929,5.958562939644925
继,152,80,4.379314520702234,5.8085371763539575
奉,151,80,5.527774231000446,5.989196178213565
致,151,80,5.471684977460839,6.216076238145154
易,150,80,6.18621694662857,5.629160501300686
谋,150,80,5.651715968325181,5.831983237897859
视,150,80,5.234263637858045,6.054427090553169
兼,149,80,5.958356778646418,5.645203201857704
贵,149,80,5.397525945996636,5.832780336669442
罢,149,80,5.348284356092588,6.176359984646714
海,149,80,5.155177772134249,5.772256801245788
告,148,80,5.863542333924256,6.078695655600462
解,148,80,5.782356846143474,6.052022130138575
户,148,80,3.73987742406556,4.89464064080602
思,147,80,5.6816984202173355,5.913902966474595
代,147,80,5.46081216119937,5.831237620452913
坐,146,80,6.393536584996767,6.277442190807287
由,146,80,3.96015847839496,5.620573867310158
任,145,80,6.115280028645122,5.959730076544753
权,145,80,5.9636047073822365,5.66641507870061
引,145,80,5.949384058117124,6.124885972840047
听,145,80,5.414376389028756,5.090728584194784
弟,143,80,5.908770273440978,4.558619125651111
本,143,80,5.842614154367159,5.525752083781711
理,142,80,5.906805284300491,5.45972890495401
衣,142,80,5.576244931409115,5.324138651704451
远,142,80,5.537246891469452,6.388672560762753
尉,141,80,5.660241661727729,3.9361496507880274
关,141,80,4.77221275077575,5.854041083510026
给,141,80,4.373749607927297,5.62442919693692
广,140,80,5.849433503957393,5.663979508381972
执,140,80,5.385838673831639,6.3298197126347
莫,140,80,4.34753622973194,5.525838048123867
永,139,80,5.499578366846995,5.696733668081565
临,138,80,5.712613442326471,6.001363807853596
异,138,80,5.002946187831327,6.037975459599223
顾,137,80,6.042960010102694,5.487480767009791
志,137,80,5.583988829719984,5.151616437121995
说,137,80,5.560640892162292,5.8204217062546055
承,137,80,5.001901460529911,6.148802976752
望,136,80,5.664091375784617,6.099625376937278
物,136,80,5.428204236287721,5.749829508698019
仁,136,80,5.1498040707931665,5.74007278152095
仲,136,80,4.085901381690549,4.761619998160144
属,135,80,6.114542797217843,5.675545335991748
传,135,80,5.7817749593538466,6.173453420377912
宁,134,80,5.902386225211038,5.645142952185118
擢,134,80,5.572540914290905,5.2938747880904025
破,134,80,4.664501213246206,5.168757793544223
保,133,80,5.672200134513998,4.6441950319937355
路,133,80,5.617730491184589,5.31238638175369
难,133,80,5.556975702025027,5.484524865481521
边,132,80,5.570672430974527,5.802400946786111
皇,132,80,4.053172566720251,5.554696504371127
威,131,80,5.796860444217959,5.751776038620656
魏,131,80,5.781696045619893,5.532781904484993
应,131,80,5.570534244298088,5.604705448233267
夏,131,80,5.418482441506027,4.763501008788926
嘉,131,80,4.846549366089818,5.181917488113355
止,131,80,4.728644483738437,5.322520702119556
田,130,80,6.035917682795454,5.5681922766779
攻,130,80,5.765771729477,6.097886067306671
亡,130,80,5.2953500227920225,5.921406422537932
悉,129,80,6.0709668673226655,5.964904158123499
登,129,80,5.95376369134596,5.836152711860638
置,129,80,5.864585291693635,6.090706149678217
林,129,80,5.333645939242451,4.119329902045633
楚,129,80,5.243283521500589,5.515311532225099
寻,129,80,5.230310722878519,4.720049960644813
哉,129,80,3.584962500721156,6.092595523144038
教,128,80,5.207976358259795,5.9733596308071375
群,128,80,3.7932259515203186,5.8256311923780135
酒,127,80,5.851335236272635,5.276041547697299
反,127,80,5.617265743465103,6.1027776732816825
乞,126,80,5.578386814451736,5.7022817267839985
奇,126,80,4.990794124584703,5.1370689636415054
赠,126,80,4.882918354030626,4.262814895472355
遗,125,80,5.689691705132994,5.574619952353727
表,125,80,5.62352234339611,5.804863291191249
便,125,80,5.259401470035987,5.4762662601284635
历,124,80,5.8413886303735465,4.732811751287803
职,124,80,5.388233670962454,5.643041745068176
荣,124,80,5.38771958047626,4.878384750961665
语,124,80,5.2628618763313115,5.545234878024269
指,124,80,4.811844920448422,5.51852577879488
车,124,80,4.347508868149535,5.958498270246271
谥,124,80,2.778560173540276,3.3320953986601687
强,123,80,5.96065241905803,6.100913516208918
寇,123,80,5.77545390358276,5.7521784395473725
持,123,80,5.347356992213386,5.763513185953762
延,123,80,5.162477530299478,5.7444451120424
选,123,80,4.902516187634224,4.831474531988096
怒,123,80,4.106781504578082,5.060868874965248
被,122,80,6.058985545926409,6.247223611421812
游,122,80,5.517513268866212,5.994967123515508
追,122,80,5.330483054540316,5.44038757053848
曹,122,80,5.120999790017319,5.352100678765526
阁,122,80,4.798068933377701,4.913756737626736
舍,122,80,3.686821115309907,5.58974692789172
处,121,80,5.663756278810002,6.078450134143516
岂,121,80,5.083086532396212,4.83643362900771
淮,121,80,4.611135347450201,5.433983564391642
惟,120,80,6.014735178725515,4.777569011092751
首,120,80,5.52382479674792,5.551802387971204
圣,120,80,4.971302002176802,5.763430035315094
转,119,80,5.107884848218047,5.256564762130953
总,119,80,3.5893219892062587,5.332251576621192
幸,118,80,6.104694720165799,4.9216243110585625
分,118,80,5.869617367111214,6.001898246022857
阴,118,80,5.25033264425689,5.177582352790415
免,117,80,5.284168924903185,5.490030341653492
晋,117,80,4.941244961005391,5.487501884477195
察,117,80,4.5684825545861205,4.5470715637953765
走,116,80,5.234035029424895,5.629063006578002
降,116,80,5.189654008544148,5.754148924482929
诛,116,80,5.069313111002944,5.893834553462619
斩,116,80,4.6031996329556994,5.544980453053019
累,116,80,4.384449927448447,5.289760053836066
巡,116,80,3.1872311879342003,5.670223475531705
领,114,80,5.951245997363275,5.640938621891025
讨,114,80,5.2997457987180425,5.594995488976864
伏,114,80,5.132293239591067,5.835711619181576
乡,114,80,4.392531001095375,5.5461959661033156
凡,113,80,5.580777471391721,4.640223928941852
近,113,80,5.558562939644925,5.476125864372235
绝,113,80,5.331115266501593,5.760470347700325
丧,113,80,5.279992330885061,5.071900891029846
喜,113,80,5.219843253302299,5.2512107732705005
第,113,80,4.581273567623566,4.648053550158727
辄,112,80,6.3263343597278885,5.474107503636358
就,112,80,6.049806391706669,5.616039344205871
恐,112,80,5.470183591596804,5.170098136045701
爱,112,80,5.252643334227812,5.9137579107435165
监,112,80,5.206280739628058,5.69973538610086
备,111,80,5.860794328108873,5.48795959186275
怀,111,80,5.856343717086867,6.057196431441845
情,111,80,5.736286231168871,4.704856273784327
盗,111,80,5.696865596089281,5.062486470169337
疑,111,80,5.574380181828818,5.502172175938124
汝,111,80,5.491696055974047,5.3001789970314
两,111,80,5.478997062667393,6.073806857276814
龙,111,80,5.2975970468793,5.727368784857288
变,111,80,4.792382525067076,5.396345162480776
予,110,80,5.789604823011261,5.284683810317085
姓,110,80,4.98182861410166,3.1991068596072973
夜,109,80,6.1258727995155855,4.562784501900765
争,109,80,5.395711569718683,5.695943517407992
合,109,80,5.362829762907302,5.802032714692721
几,109,80,5.286146588249913,3.9737067157624075
神,109,80,4.649804059384045,5.581502312189755
狱,109,80,4.59466943533526,5.224995772506756
台,108,80,5.800279906598678,5.459345405601412
性,108,80,5.797084976404379,5.295411437466434
犹,108,80,5.736246127456567,5.726464003858314
退,108,80,5.1538782888820265,5.634505769010445
黄,108,80,5.1211359697345005,5.802915339393916
殿,108,80,4.385519150052842,5.450466372803202
更,107,80,5.908452318567524,5.800471439865571
容,107,80,5.746940680400717,5.0351019407162445
再,107,80,5.559239757896666,5.747070338342635
口,107,80,5.3877541252455226,5.210973954539664
布,107,80,4.868998724295992,4.844176157535085
徐,107,80,4.694197697464033,5.7326489066737665
厚,106,80,5.744748703981249,5.554046000998776
具,106,80,5.254656436953318,5.832635214375196
荐,106,80,5.253949459174216,5.992367700532093
私,105,80,5.626583063208256,5.3853402903507925
乘,105,80,5.317360948874845,5.832635214375196
邑,105,80,5.150911445483736,5.199342550450195
刑,105,80,3.9319479648852234,5.412577575113556
杨,104,80,5.911602217974676,5.571860873964199
达,104,80,5.856936732175326,4.911248961854138
伯,104,80,5.434889549051673,5.128420768513742
密,104,80,4.86889380526417,4.201528531532559
待,104,80,4.821416606665108,4.593846440295791
崇,104,80,4.749307774929073,5.607264455478374
营,103,80,6.1639667073927,6.2338326875033525
射,103,80,5.1756522125930635,3.8529623979450025
庆,103,80,5.119652321128466,5.148859332360738
散,103,80,3.9626612813783186,5.355544867843963
省,102,80,5.86744676206375,5.085977518726337
良,102,80,5.603694405025993,5.492500074192818
秋,102,80,5.483491846500067,3.7981660915360775
鲁,102,80,5.153148435447256,4.528032228648287
养,102,80,5.086218021321335,5.146910306168687
谢,102,80,4.886514500677623,5.934154271636192
春,102,80,3.9502815031210563,4.418290758708291
徒,101,80,5.580643289130499,4.044786953438813
获,101,80,5.267397166140051,5.179074278351152
仕,101,80,4.857766828055778,3.830842487689867
忧,101,80,4.7629193236910305,4.64950405919074
兄,101,80,4.6817970957569806,5.177158033742076
质,100,80,5.828185525097415,5.268621487698133
邪,100,80,4.3001530166977115,5.750719696532998
帅,99,80,5.875145808605844,4.999301632784298
徙,99,80,5.785917525058722,5.23100637484136
恶,99,80,5.543191669391028,5.681369160454084
报,99,80,5.503097826186609,5.086809496260558
辅,99,80,5.001447333055202,5.511869470054846
著,99,80,4.769702276078293,5.716868585642397
副,99,80,2.4424082343286497,5.192913690568849
旧,97,80,5.900115724077514,5.8132611189252685
盖,97,80,5.85922048346176,4.4251412032329
声,97,80,5.634732757345428,5.1781786463077655
号,97,80,5.101310871648627,5.422885785894006
恩,97,80,4.8124532888133436,5.026632152059949
胜,96,80,5.611216409709393,5.116503156159179
新,96,80,5.547383255568681,5.903721172566644
钱,96,80,5.4745430898944845,6.067692744547812
弘,96,80,5.351659533917256,4.85377739943295
原,96,80,4.945909122052688,4.389920457518211
校,96,80,3.960656643928256,5.021596635759363
梁,95,80,5.7444451120424,5.559545634509974
舟,95,80,5.364462487075159,5.630769099891299
唐,94,80,5.566650120377328,5.3024795538336775
宋,94,80,5.4865238858628445,5.10440327036364
愿,94,80,5.385916369621561,4.625814583693913
济,94,80,4.924021435675799,5.264573219675877
色,94,80,4.721353976547508,5.291498615054731
务,93,80,5.4367319309475475,5.150605964162116
福,93,80,5.394562391880225,4.471783269889561
尔,93,80,5.283036107983752,5.4779480074400935
果,92,80,5.784442443290858,5.729418524983631
注,92,80,5.49215742760453,5.3699620906197385
推,92,80,5.146538563485212,5.575076553046763
决,92,80,5.116264615668021,5.511981214702852
仆,92,80,3.51322425403504,3.9567577455825758
敌,91,80,5.554694038652622,5.548329341690044
交,91,80,5.279992330885061,5.573341380880294
美,91,80,5.050712238919077,5.066056522764452
他,91,80,4.948990129318632,5.139535844024547
诚,90,80,5.57534993700002,5.103373781480404
随,90,80,5.33960864475309,5.6478372647354185
气,90,80,5.316941874833214,5.349963466250249
诗,90,80,5.267056493264438,4.741449370636778
急,90,80,5.053660689688188,5.285520477596819
真,90,80,5.031284753020967,5.140703430534426
纳,90,80,4.629790924282767,5.237443979194632
负,89,80,5.490893913452299,5.690448732239602
手,89,80,5.305857725689276,5.396651409585766
害,89,80,5.094102190965679,4.881569755791378
室,89,80,4.958229168669878,5.107634053752155
敬,89,80,4.297955342776582,5.400065193712613
荆,89,80,3.3013050216622744,5.174823786018653
克,88,80,5.527296778378648,5.263603364664987
赏,88,80,4.960925990571672,5.694026911074392
友,88,80,4.248955746333799,5.270154938553288
博,88,80,4.002577183642218,5.148011400286789
恭,87,80,5.565159523684989,4.6178278891110605
尤,87,80,5.4649736562944575,5.257367497088128
严,87,80,5.389648195361862,5.600412613621464
轻,87,80,5.158532940818967,5.5163826484864575
宝,86,80,5.381160368957706,4.392974142696471
屯,86,80,5.1756128197658615,5.898717457037864
动,86,80,4.722435394086042,5.003180828242445
工,86,80,3.4318114565594904,5.26976644256183
谷,85,80,5.607264455478375,5.401586338113642
次,85,80,5.345842144550963,5.30607508976451
特,85,80,5.32347898608795,5.203856189774727
蒙,85,80,5.175606021109334,5.3438981360467235
市,85,80,4.743358334102715,5.592371495179856
收,84,80,5.722083336004275,5.653495561774947
势,84,80,5.545143966741475,4.775413017899724
试,84,80,5.240951690231736,4.986899387261868
佐,84,80,5.204607422915722,4.960031727380472
廉,84,80,5.073114190264027,4.9432233498109195
禁,84,80,4.885128679844001,5.682707435473805
献,84,80,4.781121312512725,5.183879156942228
贫,84,80,4.44018689161642,5.009478004356127
禄,84,80,4.065776274461044,3.818747828747788
据,83,80,5.867372417290182,5.695159765557392
机,83,80,5.378000816413536,4.61956167555001
青,83,80,5.164336835071834,5.481727678869735
化,83,80,5.107300668703628,5.238623494609117
略,83,80,5.068691731826158,4.626196937604101
劳,83,80,4.958865001249045,5.374086544885028
孔,83,80,2.4139526736637587,4.993391529870108
统,82,80,5.472502257830703,4.479828879781593
己,82,80,5.180063254367904,5.418031780442457
苦,82,80,5.138301575448386,5.205348466658708
患,82,80,4.757200720143791,4.963127640775435
期,82,80,4.647526947137735,5.096980104010264
昭,82,80,4.6418913570471645,4.605242675513768
韩,81,80,4.714672254547911,5.4437026367611745
