word,annotation
高,"”相对
高度
等级在上的
在一般标准或平均程度之上
声音响亮
敬辞，称别人的事物
热烈、盛大
显贵，道德水平高
宗族中最在上之称
酸根或化合物中比标准酸根多含一个氧原子的"
生,"一切可以发育的物体在一定条件下具有了最初的体积和重量，并能发展长大
造出
活的，有活力的
有生命的东西的简称
生活，维持生活的
整个生活阶段
发出，起动
使燃料燃烧起来
植物果实不成熟
未经烧煮或未烧煮熟的
不熟悉的，不常见的
不熟练的
硬
甚，深
正在学习的人
有学问或有专业知识的人
传统戏剧里扮演男子的角色
词尾"
方,"数学上指某数自乘的积
人的品行端正
一边或一面
地区，地域
办法，做法，技巧
种，类
为治疗某种疾病而组合起来的若干种药物的名称、剂量和用法
违背
正在，正当
才，刚刚
量词，多指一立方米
量词，用于方形的东西"
亦,"副词，也，表示同样、也是
又
不过，只是
表示加强或委婉的语气"
吏,"旧时代的大小官员
旧指小公务员"
尚,"），仍然
尊崇，注重
社会上共同遵从的风俗、习惯等
矜夸，自负
古，久远
庶几，差不多"
非,"不，不是
不对，过失
”字）
责怪，反对
指“阿非利加洲”（位于东半球的西南部。简称“非洲”）"
迁,"机关、住所等另换地点
变动，转变
贬谪，放逐
古代称调动官职，一般指升职"
司,"主管，操作
官署名称
视察"
武,"”相对
勇猛，猛烈
半步，泛指脚步"
马,"哺乳动物，颈上有鬃，尾生长毛，四肢强健，善跑，供人骑或拉东西
大"
西,"”相对
事物的样式或方法属于西方的（多指欧美各国）"
四,”代）
居,"住
居住的地方
当，占，处于
安着，怀着
积蓄，储存
停留
平时"
郎,"对年轻男子的称呼
对某种人的称呼
旧时妻称夫或情人
封建时代的官名"
去,"”相对
距离，差别
已过的，特指刚过去的一年
除掉，减掉
扮演戏曲中的角色
用在动词后，表示趋向
用在动词后，表示持续
汉语四声之一"
已,"止，罢了
表示过去
后来，过了一些时间，不多时
太，过"
必,"一定
决定，肯定
固执
果真，假使"
还,"回到原处或恢复原状
偿付
依然，仍然
更加
再，又
尚，勉强过得去
尚且"
阳,"”相对
指“太阳”
山的南面或水的北面（多用于地名）
温暖
外露的，明显的
凸出的
关于活人的
带正电的
男性生殖器"
贼,"偷东西的人，盗匪
对人民有危害的人
害，伤害
邪的，不正派的
狡猾
副词，很"
御,"驾驶车马
封建社会指上级对下级的治理，统治
对帝王所作所为及所用物的敬称
抵挡"
同,"共，在一起（从事）
和，跟"
侍,◎ 伺候，在旁边陪着
初,"开始时，开始的部分
原来的，原来的情况"
河,"水道的通称
特指中国黄河
指“银河系”"
父,"爸爸，母亲的丈夫
对男性长辈的称呼
老年人"
万,"数目，十个一千
喻极多
极，很，绝对"
少,"”相对
缺，不够
不经常
短时间
丢，遗失
轻视
年纪轻或年轻人
古代辅佐长官的副职
次级的"
字,"用来记录语言的符号
文字的不同形式，书法的派别
书法的作品
字的音
合同，契约
旧时称女子出嫁
生子，乳，爱"
正,"”相对
合于法则的
合于道理的
恰好
表示动作在进行中
”相对
纯，不杂
改去偏差或错误
图形的各个边的长度和各个角的大小都相等的
”相对
”相对"
德,"人们共同生活及行为的准则和规范，品行，品质
心意，信念
恩惠"
功,"”相对
成就，成效
物理学上指用力使物体移动的工作，等于力乘移动的距离
本领，能耐"
法,"体现统治阶级的意志，国家制定和颁布的公民必须遵守的行为规则
处理事物的手段
仿效
标准，规范，可仿效的
佛家的道理
道家佛家的所谓拿妖捉怪的技术
指“法国”"
千,"”代）
喻极多"
因,"原故，原由，事物发生前已具备的条件
理由
依，顺着，沿袭"
右,"”相对
地理上指西方
指政治思想上保守或反动的
古代称等级高的
崇尚，重视"
政,"治理国家事务
国家某一部门主管的业务
家庭或集体生活中的事务"
成,"做好，做完
事物发展到一定的形态或状况
变为
可以，能行
称赞人能力强
够，达到一定数量
已定的，定形的
十分之一
平定，讲和"
召,"召唤
召致，引来"
府,"储藏文书或财物的地方
旧时封建贵族和官僚的主宅，泛指一般人的住宅
中国唐代至清代的行政区域名，等级在县和省之间
国家行政机关"
门,"建筑物的出入口，又指安装在出入口能开关的装置
形状或作用像门的东西
途径，诀窍
旧时指封建家族或家族的一支，现亦指一般的家庭
一般事物的分类
生物的分类单位之一，在“界”之下、“纲”之上
宗教的教派或学术思想的派别
量词
事件，多指负面的事件"
既,"动作已经完了
已经
”连用，表示两者并列"
立,"站，引申为竖起来
做出，定出
存在，生存
马上，即刻"
尝,"辨别滋味
试，试探
经历
曾经"
月,"月亮；月球。地球的卫星
按月出现的，每月的
形状像月亮的，圆的
妇女产后一个月以内的时间"
等,"数量、程度相同，或地位一般高
表示数量或程度的级别
种，类
表示同一辈份的多数人
表示列举未尽，或用于列举煞尾
候，待
待到"
举,"向上抬，向上托
动作行为
发起，兴办
提出
推选，推荐
全
古代指科举取士
攻克"
左,"”相对
地理上指东方
指政治思想上进步或超过现实条件许可的过头思想和行动
斜，偏，差错
降低官职"
若,"如果，假如
如，像
你，汝
约计
此，如此
顺从
指“海若”（古代神话中的海神）
指“杜若”（古书上说的一种香草）
”合用
用在形容词或副词后，表示事物的状态"
甚,"很，极
超过
方言，什么
表示进一层的意思"
遣,"派，送，打发
排解，发泄"
议,"意见，言论
讨论，商量
评论是非，多指责备
旧时文体的一种，用以论事说理或陈述意见"
江,"大河的通称
特指中国长江"
起,"由躺而坐或由坐而立等
离开原来的位置
开始
拔出，取出
领取（凭证）
由下向上，由小往大里涨
发生，产生，发动，提出
长出
拟定
建造，建立
群，组，批
量词，指件，宗
自，从
用在动词后，表示动作的趋向
”连用，表示动作开始
”连用，表示胜任；亦表示达到某一种标准"
京,"国都（现特指中国首都北京）
中国少数民族，主要分布于广西壮族自治区"
善,"心地仁爱，品质淳厚
好的行为、品质
高明的，良好的
友好，和好
熟悉
办好，弄好
）于
赞许
好好地
容易，易于"
会,"聚合，合在一起
多数人的集合或组成的团体
城市，通常指行政中心
彼此见面
付钱
理解，领悟，懂
能，善于
机会，时机，事情变化的一个时间
一定，应当
恰好，正好
一小段时间
总计"
外,"”相对
不是自己这方面的
指“外国”
称母亲、姐妹或女儿方面的亲戚
称岳父母
称丈夫
关系疏远的
对正式的而言，指非正式的
传统戏剧角色名"
众,"许多
”相对
许多人"
心,"人和高等动物体内主管血液循环的器官（通称“心脏”）
中央，枢纽，主要的
习惯上指思想的器官和思想情况，感情等"
常,"长久，固定不变
副词，经常，时时（叠），不只一次
普通的，一般的"
乎,"文言助词，表示疑问
文言叹词
”（用在动词或形容词后）
古形容词或副词后缀"
问,"有不知道或不明白的事请人解答
为表关切而询问
审讯，追究
管，干预
向某人或某方面要东西"
意,"心思
心愿，愿望
人或事物流露的情态
料想，猜想"
来,"”相对
从过去到现在
现在以后，未到的时间
用在数词或数量词后面，表示约略估计
做某个动作
用在动词前，表示要做某事
用在动词后，表示做过（一般均可用“来着”）
用在动词后，表示动作的趋向
表示发生
在数词一、二、三后面，表示列举理由
用做诗、歌词中的衬字"
卿,"古代高级官名
古代夫妻互称"
前,"”相对
”相对
顺序在先的
向前行进"
位,"所处的地方
职务的高低
特指君主的地位
一个数中每个数码所占的位置
量词，常用于人，表尊重"
水,"一种无色、无臭、透明的液体
河流
液汁
指附加的费用或额外的收入
指洗的次数"
侯,封建制度五等爵位的第二等
六,”代）
治,"管理，处理
整理
惩办
医疗
消灭农作物的病虫害
从事研究
安定
旧称地方政府所在地"
北,"”相对
打了败仗往回逃"
岁,"年
一年的收成，年景
年龄
星名
指时间，光阴"
称,"量轻重
叫，叫做
名号
说
赞扬
举
◎ 适合"
虽,◎ 连词，把意思推开一层，表示“即使”或是“纵然”的意思，后面多有“可是”、“但是”相应
重,"”相对
程度深
价格高
数量多
主要，要紧
认为重要而认真对待
言行不轻率
再
层"
罪,"犯法的行为
过失，把过失归到某人身上
刑罚
苦难，痛苦"
定,"不动的，不变的
使不变动
平安，平靖（多指局势）
镇静，安稳（多指情绪）
确凿，必然的
预先约妥"
征,"远行
用武力制裁，讨伐
召集
收集
招请，寻求
证明，证验
表露出来的迹象"
礼,"社会生活中，由于道德观念和风俗习惯而形成的仪节
符合统治者整体利益的行为准则
表示尊敬的态度和动作
表示庆贺、友好或敬意所赠之物"
李,落叶小乔木，果实称“李子”，熟时呈黄色或紫红色，可食
论,"分析判断事物的道理
分析阐明事物道理的文章、理论和言论
学说，有系统的主张
看待
衡量，评定
按照"
义,"公正合宜的道理或举动
合乎正义或公益的
情谊
意思，人对事物认识到的内容
指认为亲属的
人工制造的（人体的部分）"
战,"打仗
泛指争斗，比高下
发抖"
光,"太阳、火、电等放射出来耀人眼睛，使人感到明亮，能看见物体的那种东西
荣誉
使显赫
景物
光滑
完了，一点不剩
露着
单，只"
焉,"”相当
乃，才
文言疑问词，怎么，哪儿
文言助词"
始,"”相对
才，刚才"
奏,"），依照曲调吹弹乐器
封建时代臣子对皇帝陈述意见或说明事情
呈现，取得"
陈,"排列，摆设
述说
旧的，时间久的"
母,"妈妈，娘
对女性长辈的称呼
”相对
事物据以产生出来的
一套东西中间可以包含其他部分的"
骑,"跨坐在牲畜或其他东西上
兼跨两边
）
）
）"
拜,"表示敬意的礼节
恭敬地
行礼祝贺
用一定的礼节授与某种名义或职位，或结成某种关系"
亲,"有血统或夫妻关系的
婚姻
因婚姻联成的关系
称呼同一地方的人
本身，自己的
感情好，关系密切
用嘴唇接触表示喜爱"
发,"交付，送出
放，射
表达，阐述
散开，分散
开展，张大，扩大
打开，揭露
产生，出现
食物因发酵或水浸而膨涨
显现，显出
开始动作
引起，开启
公布，宣布
人的前额、双耳和头颈部以上生长的毛"
赐,"给，旧时指上级给下级或长辈给小辈
敬辞
赏给的东西，给予的好处"
往,"去，到
过去"
张,"开，展开
商店开业
拉紧
扩大，夸大
放纵，无拘束
料理，应酬
惊惶，慌忙
看，望
量词"
内,"”相对
称妻子或妻子家的亲戚
亲近"
郡,◎ 古代行政区域，中国秦代以前比县小，从秦代起比县大
里,"居住的地方
街坊（古代五家为邻，五邻为里）
中国市制长度单位
衣物的内层
”相对，并引申为一定范围以内"
节,"竹子或草木茎分枝长叶的部分
物体的分段或两段之间连接的部分
段落，事项
中国历法把一年分为二十四段，每段开始的名称
纪念日或庆祝宴乐的日子
礼度
音调高低缓急的限度
操守
省减，限制
略去，简略
古代出使外国所待的凭证"
求,"设法得到
恳请，乞助
需要"
通,"没有阻碍，可以穿过，能够达到
懂得，彻底明了
传达
往来交接
普遍、全
男女不正当的性行为"
授,"给，与
教，传给"
章,"歌曲诗文的段落
条目，规程
条理
花纹，文采
戳记
佩带的身上的标志
奏本"
地,"人类生长活动的所在
地球或地球的某部分
地球表面除去海洋、江河、湖泊的部分
地球表面的土壤
地球上的一个区域
建筑材料铺成的平面
所在空间或区域的部位
人在社会关系中所处的位置
表示思想或行动的某种活动领域
底子
结构助词，用在词或词组之后表示修饰后面的谓语"
石,"构成地壳的矿物质硬块
指石刻
指古代用来治病的针"
周,"圈子，环绕
普遍、全面
时期的一轮，亦特指一个星期
完备
给，接济
中国朝代名"
制,"规定
限定，约束，管束
法规，制度
造，作
依照规定的标准做的
古代帝王的命令"
封,"密闭，使跟外面隔绝
用来装信、钱等物的纸套
帝王把土地或爵位给予亲属或臣僚
疆界
限制
帝王筑坛祭天
量词，用于装封套的东西"
秦,"中国周代诸侯国名，在今陕西省和甘肃省一带
中国朝代名"
敢,"有勇气，有胆量
谦辞，“不敢”的简称，冒昧的意思
方言，莫非"
金,"一种化学元素，符号Au，原子序数79，黄赤色，质软
金一类的，具有光泽、延展性，容易传热和导电的固体的通称（汞除外）。
钱
指兵器或金属制的乐器
喻尊贵、贵重、难得、持久、坚固、有光泽等
一些动、植物因颜色似金而得名
中国朝代名"
信,"诚实，不欺骗
不怀疑，认为可靠
崇奉
消息
函件
随便，放任"
受,"接纳别人给的东西
忍耐某种遭遇
遭到
适合，中"
汉,"天河
成年男人
汉语的简称
中国朝代名"
且,"尚，还，表示进一层
表示暂时
表示将要、将近
一面这样，一面那样
表示经久
”相似
敬慎的样子"
或,"也许，有时，表示不定的词
某人，有的人
稍微"
我,自称，自己，亦指自己一方
力,"人和动物筋肉的效能
一切事物的效能
物理学上指物体之间相互作用，引起运动加速或形变
用极大的力量"
贤,"有道德的，有才能的
敬辞，用于平辈或晚辈"
八,”代）
忠,◎ 诚心尽力
丞,"帮助，辅佐
封建时代辅佐主要官员做事的官吏"
宜,"适合，适当
应该，应当
当然，无怪"
小,"”相对
范围窄，程度浅，性质不重要
时间短
年幼小，排行最末
谦辞
妾"
杀,"使人或动物失去生命
战斗，搏斗
消减
药物等刺激身体感觉疼痛
收束
勒紧，扣紧
用在动词后，表示程度深"
宣,"公开说出，散布
疏导
皇帝命令或传达皇帝的命令"
过,"从这儿到那儿，从此时到彼时
经过某种处理方法
超出
重新回忆过去的事情
从头到尾重新审视
次，回，遍
错误
用在动词后表示曾经或已经
”连用，表示趋向"
氏,古代称呼帝王贵族等，后称呼名人、专家
直,"不弯曲
把弯曲的伸开
公正合理
爽快，坦率
一个劲儿地，连续不断
”相对"
并,"合在一起
一齐，平排着
连词，表平列或进一层
用在否定词前，加强否定的语气，表不像预料的那样"
尽,"完毕
达到极端
全部用出，竭力做到
都，全
极，最
力求达到最大限度"
独,"单一，只有一个
老而无子
难道，岂
”"
疾,"病，身体不舒适
一般的痛苦
疼痛
恨
弊病，缺点
快，迅速"
古,"”相对
古体诗的简称"
每,"指特定范围内的任何一个或一组
指特定范围内逐一出现的任何一次
虽"
兴,"举办，发动
起来
旺盛
流行，盛行
准许
或许
◎ 对事物感觉喜爱的情绪"
加,"增多
把本来没有的添上去
把几个数合起来的算法
施以某种动作
使程度增高
超过"
食,"吃
吃的东西
俸禄
日月亏缺或完全不见的现象
◎ 拿东西给人吃
◎ 用于人名"
除,"去掉
改变，变换
不计算在内
”的反运算
台阶
任命官职"
作,"起，兴起，现在起
从事，做工
举行，进行
干出，做出，表现出，制造出
当成，充当
创造
文艺方面的成品
旧时手工业制造加工的场所
从事某种活动"
取,"拿
选择
采用
得到，招致
消去"
廷,◎ 封建时代君主受朝问政的地方
昌,"兴盛
善，正当"
